Sample	bromomakaluvamine	discorhabdin A-series	tribromodiscorhabdin	dibromodiscorhabdin	hydroxydiscorhabdin	discorhabdin I	3-dihydrodiscorhabdin	tsitsikammamine	bromoorthoquinone	makaluvamine
TIC2018-003E	0.000083289302613654	0	0.652373228204444	0.00234030979970433	0	0	0.00308891725522971	0.341541628368613	0.000461508817651765	0.000111118251744134
TIC2018-003F	0	0	0.772815946029547	0.0363682893904996	0	0	0.00243993143912458	0.188375833140829	0	0
TIC2018-003G	0	0	0.803500657032484	0.000472688636495119	0	0	0.0000925457107652078	0.195934108620255	0	0
TIC2018-003I	0	0	0.680973928866311	0.00254486602114112	0	0	0.00222302193921466	0.314258183173333	0	0
TIC2018-003J	0.000621868053222984	0.000371837853830342	0.805398155806441	0.0243854517661275	0.000123335463109034	0.00876006958325194	0.000164029445023467	0.148693846861684	0	0.0114814051673102
TIC2018-007A	0	0	0.518533717885007	0.0835768665706197	0.000616039932343702	0.0127360768307715	0.0367178160927826	0.337309632284442	0	0.0105098504040332
TIC2018-007B	0	0	0.653539602724115	0.0703313757617072	0	0.00142628717749948	0.000959583280768442	0.247877644176915	0	0.0258655068789957
TIC2018-007C	0	0.000138734632725967	0.605620656119067	0.0111006362549052	0.0001230362260041	0.00402112571193828	0.000934812503097257	0.357115793864246	0	0.0209452046880166
TIC2018-007D	0	0.00018910750820327	0.466798424111021	0.0548391004390766	0.000342777644324086	0.0226224232016786	0.0397929792550325	0.395704050558714	0	0.01971113728195
TIC2018_007E	0	0	0	0	0	0	0	0	0	0
TIC2018-014A	0	0	0.660838730013106	0.0485360815035352	0.000846742135324017	0.00577456725030631	0.0198969333128147	0.249725339879859	0	0.0143816059050541
TIC2018-014B	0	0	0.504744362479718	0.0391156649014367	0.0013671181604895	0.00719465283129464	0.015800466764539	0.41391410506746	0	0.0178636297950623
TIC2018-014C	0	0.0000706240522036385	0.430128020207597	0.0907597772122753	0.000157377932113391	0.0320559118528513	0.0398902842893853	0.389637991870299	0	0.0173000125832745
TIC2018-014D	0	0	0.654586136145786	0.0593029886599741	0.000827416980400607	0.0116938420288676	0.0254991254248644	0.232521278940666	0	0.0155692118194412
TIC2018-014E	0	7.95734463467167E-06	0.575778957066202	0.0642538144493108	0.00057213541385894	0.0123035000931844	0.0259760980194133	0.306116629069772	0	0.014990908543624
TIC2015_006A	0	0	0	0	0	0	0	0	0	0
TIC2015_006B	0	0	0	0	0	0	0	0	0	0
TIC2020_003	0	0	0	0	0	0	0	0	0	0
TIC2021_022	0	0	0	0	0	0	0	0	0	0
TIC2021_002	0	0	0	0	0	0	0	0	0	0
TIC2021-031	0	0	1	0	0	0	0	0	0	0
TIC2021-043	0	0	0.927309934747008	0	0	0	0	0	0	0.0726900652529917
TIC2022-001	0	0	0.999047228592167	0	0	0	0.000952771407833603	0	0	0
TIC2022-003	0	0	0.991547024396009	0.0000528899206591586	0	0	0.000398933726639099	0	0.000574965103050023	0.00742618685364257
TIC2022-004	0	0	0.99976867306664	0	0	0	0.000231326933359956	0	0	0
TIC2022-005	0	0	0.945909691902993	0	0	0	0.00069135364720106	0	0.00328425921082164	0.0501146952389842
TIC2022-008	0	0	1	0	0	0	0	0	0	0
TIC2022-021	0	0	0.999576859727233	0	0	0	0.0004231402727673	0	0	0
TIC2022-063	0	0	0.998100944774192	0.000904916856899479	0	0	0.000994138368908902	0	0	0
TIC2022-070	0	0	0.881173432379124	0.000327563133855504	0	0	0.00163860629472238	0	0.0438960591825876	0.0729643390097102
TIC2015-201	0	0	0.158772916253068	0.364514007659028	0.472867784550545	0	0.00048909814874558	0	0	0.00335619338861355
TIC2015-202	0	0	0.213661932224539	0.360609419248206	0.421757628042649	0	0.000195706238824524	0	0	0.00377531424578125
TIC2015-204	0	0	0.216806315159177	0.348534297975511	0.427661274663894	0	0.000184785177439483	0.0000819335393170645	0	0.00673139348466057
TIC2019-013	0	0	0.321843683073511	0.347857284986744	0.330213442614109	0	0.000085589325636531	0	0	0
TIC2017-026	0	0	0.976092816993485	0.00222473408278437	5.02433144041379E-06	4.45225002043429E-06	0.000502810792219295	0	0	0.0211701615500503
TIC2017-028	0.000670095321518243	0	0.951188770778618	0.00296524995178037	0.000616716380314223	5.58013172462451E-06	0.000881082286209932	4.39253514488687E-06	0.000113443199430777	0.043554669415259
TIC2017-030	0.000472704003670681	0	0.862080846172238	0.00812153895590101	0.000127321257674905	2.23462094689136E-06	0.0035350898234951	0.0000216628541401436	0.00185084185642049	0.123787760455513
TIC2017-034	0	0	0.999981139704376	0	0	0	0	0	0	0.0000188602956236383
TIC2022-009	0	0	0.998833427456987	0.0000438847204466186	0	0	0.00112268782256648	0	0	0
TIC2015_027	0	0	0	0	0	0	0	0	0	0
TIC2015_205	0	0	0	0	0	0	0	0	0	0
TIC2015_206	0	0	0	0	0	0	0	0	0	0
TIC2015-217	0	0	0	0.00425247186622842	0.000031188826024926	0	0.99193469694973	0.0000028186041394274	0	0.0037788237538774
TIC2015-218	0	0	0	0.0139993919943363	0	0	0.984726225879692	0	0	0.00127438212597126
TIC2015-219	0	0	0	0.00993215711424337	0.00140325784203569	0	0.978620655056558	0	0	0.010043929987163
TIC2017-018	0	0	0	0.000190703672567102	6.56909744522252E-06	0.00102747526519504	0.99835228041151	0	0	0.000422971553282721
TIC2017-019	0	0	0	0.000259759735192443	0.000223231031374831	0.000409030256923935	0.997737738369923	0	0	0.00137024060658598
TIC2017-020	0	0	0	0.0000367442053638289	0.0000463662811742063	0.00427020740019007	0.994753006545413	0	0	0.000893675567859415
TIC2017-022	0	0	0	0.00014992318698959	0.0000120369298688277	0.00809345149746505	0.989699710627782	0	0	0.00204487775789488
TIC2017_025	0	0	0	0	0	0	0	0	0	0
TIC2021_004	0	0	0	0	0	0	0	0	0	0
TIC2021_034	0	0	0	0	0	0	0	0	0	0
TIC2022-019	0	0	0.000979434392524159	0.0487666712414848	0	0	0.950253894365991	0	0	0
TIC2022-059	0	0	0	0.0218610511083729	0	0	0.978138948891627	0	0	0
TIC2012_056	0	0	0	0	0	0	0	0	0	0
TIC2016-051	0	0.544496972738404	8.77886726485442E-06	0.00125674840931776	0	0.0557648820661498	0.000180655525870942	0.00319969703118424	0	0.395092265361808
TIC2016-053	0.000406448242868989	0.525411221636707	0.0000370038913834533	0	0	0.0514155004926014	0.000164005438979075	0.00198366110177998	0	0.42058215919568
ACEP2016-045	0	0.980740587353188	0	0.00439198883796037	0	0.00739731106668771	0.00244202639754104	0	0	0.00502808634462332
ACEP2016-060	0	0.992082498193584	0	0.000105598550309041	0	0.00368942553895777	0.0000472606280982172	0	0	0.00407521708905089
ACEP2016-080	0	0.991701424931227	0	0.00163822635535965	0	0.00203715070719963	0.000663834558240102	0	0	0.00395936344797329
